roster_id,manager,team_name,wins,losses,ties,points_for,points_against,faab_used,faab_left
3,themikemartin,Chase the Ace,2,0,0,338.28,293.02,33,67
1,jezz281,Named you after the dog!,2,0,0,292,264.11,5,95
9,Wenzo3030,Waxson Dart ,1,1,0,339.77,277.16,0,100
4,theNastyJK,theNastyJK,1,1,0,275.01,313.74,0,100
10,Elasticschnit,Elastic Schnitzel (Jamil),1,1,0,274.9,268.72,0,100
6,Rowdy17,Rowdy17,1,1,0,274.84,272.2,2,98
5,JLstorm1,JLstorm1,1,1,0,246.85,253.73,13,87
8,LeJohnBrains,LeJohnBrains,1,1,0,243.72,242.74,0,100
2,DrBongstrong,DrBongstrong,0,2,0,298.75,331.52,25,75
7,dm98,Braudie sucks ,0,2,0,282.7,349.88,37,63
