week,matchup_id,manager,player,pos,points,started
3,1,jezz281,Rashee Rice,WR,0,TRUE
3,1,jezz281,Emanuel Wilson,RB,0,FALSE
3,1,jezz281,Devaughn Vele,WR,0,TRUE
3,1,jezz281,Omarion Hampton,RB,0,TRUE
3,1,jezz281,Jacory Croskey-Merritt,RB,0,FALSE
3,1,jezz281,Kyle Monangai,RB,0,FALSE
3,1,jezz281,Jared Goff,QB,0,TRUE
3,1,jezz281,A.J. Brown,WR,0,FALSE
3,1,jezz281,Chase McLaughlin,K,0,TRUE
3,1,jezz281,J.K. Dobbins,RB,0,FALSE
3,1,jezz281,Travis Etienne,RB,0,FALSE
3,1,jezz281,Rhamondre Stevenson,RB,0,FALSE
3,1,jezz281,Trey McBride,TE,0,TRUE
3,1,jezz281,George Pickens,WR,0,TRUE
3,1,jezz281,Brock Purdy,QB,0,TRUE
3,1,jezz281,Chase Brown,RB,0,TRUE
3,1,jezz281,SF D/ST,DEF,0,TRUE
3,3,DrBongstrong,Michael Wilson,WR,0,FALSE
3,3,DrBongstrong,Bhayshul Tuten,RB,0,FALSE
3,3,DrBongstrong,Chris Boswell,K,0,TRUE
3,3,DrBongstrong,Derrick Henry,RB,0,TRUE
3,3,DrBongstrong,Alvin Kamara,RB,0,FALSE
3,3,DrBongstrong,Aaron Jones,RB,0,TRUE
3,3,DrBongstrong,Matthew Stafford,QB,0,TRUE
3,3,DrBongstrong,Sam Darnold,QB,0,FALSE
3,3,DrBongstrong,Kyler Murray,QB,0,FALSE
3,3,DrBongstrong,Justin Jefferson,WR,0,TRUE
3,3,DrBongstrong,Amon-Ra St. Brown,WR,0,TRUE
3,3,DrBongstrong,Kyle Pitts,TE,0,TRUE
3,3,DrBongstrong,Kenny Gainwell,RB,0,FALSE
3,3,DrBongstrong,Isaiah Likely,TE,0,TRUE
3,3,DrBongstrong,Christian Watson,WR,0,TRUE
3,3,DrBongstrong,Isiah Pacheco,RB,0,FALSE
3,3,DrBongstrong,PIT D/ST,DEF,0,TRUE
3,4,themikemartin,Jake Bates,K,0,TRUE
3,4,themikemartin,MarShawn Lloyd,RB,0,TRUE
3,4,themikemartin,Xavier Worthy,WR,0,FALSE
3,4,themikemartin,Kaelon Black,RB,0,FALSE
3,4,themikemartin,Geno Smith,QB,0,FALSE
3,4,themikemartin,Travis Kelce,TE,0,TRUE
