manager,player_id,player,pos,nfl_team,status,slot
jezz281,10229,Rashee Rice,WR,KC,,starter
jezz281,11435,Emanuel Wilson,RB,SEA,,bench
jezz281,11834,Devaughn Vele,WR,NO,,bench
jezz281,12507,Omarion Hampton,RB,LAC,,starter
jezz281,12533,Jacory Croskey-Merritt,RB,WAS,,bench
jezz281,12534,Kyle Monangai,RB,CHI,,bench
jezz281,3163,Jared Goff,QB,DET,,starter
jezz281,5859,A.J. Brown,WR,NE,IR,IR
jezz281,6650,Chase McLaughlin,K,TB,,starter
jezz281,6806,J.K. Dobbins,RB,DEN,Questionable,bench
jezz281,7543,Travis Etienne,RB,NO,,starter
jezz281,7611,Rhamondre Stevenson,RB,NE,,bench
jezz281,8130,Trey McBride,TE,ARI,,starter
jezz281,8137,George Pickens,WR,DAL,,starter
jezz281,8183,Brock Purdy,QB,SF,,starter
jezz281,9224,Chase Brown,RB,CIN,,starter
jezz281,SF,SF D/ST,DEF,SF,,starter
DrBongstrong,10232,Michael Wilson,WR,ARI,,bench
DrBongstrong,12490,Bhayshul Tuten,RB,JAX,,bench
DrBongstrong,1945,Chris Boswell,K,PIT,,starter
DrBongstrong,3198,Derrick Henry,RB,BAL,,starter
DrBongstrong,4035,Alvin Kamara,RB,NO,,bench
DrBongstrong,4199,Aaron Jones,RB,MIN,Questionable,starter
DrBongstrong,421,Matthew Stafford,QB,LAR,,starter
DrBongstrong,4943,Sam Darnold,QB,SEA,Out,bench
DrBongstrong,5849,Kyler Murray,QB,MIN,Out,bench
DrBongstrong,6794,Justin Jefferson,WR,MIN,,starter
DrBongstrong,7547,Amon-Ra St. Brown,WR,DET,,starter
DrBongstrong,7553,Kyle Pitts,TE,ATL,,starter
DrBongstrong,7567,Kenny Gainwell,RB,TB,,bench
DrBongstrong,8131,Isaiah Likely,TE,NYG,,starter
DrBongstrong,8167,Christian Watson,WR,GB,,starter
DrBongstrong,8205,Isiah Pacheco,RB,DET,IR,IR
DrBongstrong,PIT,PIT D/ST,DEF,PIT,,starter
themikemartin,11539,Jake Bates,K,DET,,starter
themikemartin,11581,MarShawn Lloyd,RB,GB,,starter
themikemartin,11624,Xavier Worthy,WR,KC,,bench
themikemartin,13414,Kaelon Black,RB,SF,,bench
themikemartin,1373,Geno Smith,QB,NYJ,,bench
themikemartin,1466,Travis Kelce,TE,KC,,starter
themikemartin,2449,Stefon Diggs,WR,WAS,,bench
themikemartin,4034,Christian McCaffrey,RB,SF,,starter
themikemartin,5045,Courtland Sutton,WR,DEN,,bench
themikemartin,5872,Deebo Samuel,WR,SF,,bench
themikemartin,6804,Jordan Love,QB,GB,,starter
themikemartin,6813,Jonathan Taylor,RB,IND,,starter
themikemartin,8146,Garrett Wilson,WR,NYJ,,starter
themikemartin,9228,Bryce Young,QB,CAR,,starter
themikemartin,9488,Jaxon Smith-Njigba,WR,SEA,,starter
themikemartin,DET,DET D/ST,DEF,DET,,starter
theNastyJK,11583,Jonathon Brooks,RB,CAR,Questionable,bench
theNastyJK,11604,Brock Bowers,TE,LV,Out,IR
theNastyJK,11620,Rome Odunze,WR,CHI,,bench
theNastyJK,11632,Malik Nabers,WR,NYG,Questionable,starter
theNastyJK,12512,Quinshon Judkins,RB,CLE,,bench
theNastyJK,12519,Luther Burden,WR,CHI,,starter
theNastyJK,12526,Tetairoa McMillan,WR,CAR,,starter
theNastyJK,12545,Tyler Shough,QB,NO,,starter
theNastyJK,13286,Jadarian Price,RB,SEA,Questionable,bench
theNastyJK,5022,Dallas Goedert,TE,PHI,Questionable,starter
theNastyJK,5870,Daniel Jones,QB,IND,,bench
theNastyJK,7839,Evan McPherson,K,CIN,,starter
theNastyJK,8148,Jameson Williams,WR,DET,,bench
theNastyJK,8161,Malik Willis,QB,MIA,,starter
theNastyJK,9221,Jahmyr Gibbs,RB,DET,,starter
theNastyJK,9226,De'Von Achane,RB,MIA,,starter
theNastyJK,9753,Zach Charbonnet,RB,SEA,PUP,IR
theNastyJK,LAR,LAR D/ST,DEF,LAR,,starter
JLstorm1,11628,Marvin Harrison,WR,ARI,,bench
JLstorm1,11631,Brian Thomas,WR,JAX,,starter
JLstorm1,11786,Cam Little,K,JAX,,starter
JLstorm1,13279,Carnell Tate,WR,TEN,,bench
JLstorm1,13345,Jonah Coleman,RB,DEN,,bench
JLstorm1,4881,Lamar Jackson,QB,BAL,,starter
JLstorm1,6790,D'Andre Swift,RB,CHI,,starter
JLstorm1,6797,Justin Herbert,QB,LAC,,starter
JLstorm1,7021,Rico Dowdle,RB,PIT,Out,IR
JLstorm1,7526,Jaylen Waddle,WR,DEN,,starter
JLstorm1,7564,Ja'Marr Chase,WR,CIN,,starter
JLstorm1,7571,Rashod Bateman,WR,BAL,,bench
JLstorm1,8142,Alec Pierce,WR,IND,Out,bench
JLstorm1,8155,Breece Hall,RB,NYJ,,starter
JLstorm1,8408,Jordan Mason,RB,MIN,IR,IR
JLstorm1,9484,Tucker Kraft,TE,GB,,starter
JLstorm1,9756,Jordan Addison,WR,MIN,,bench
JLstorm1,MIN,MIN D/ST,DEF,MIN,,starter
Rowdy17,10859,Sam LaPorta,TE,DET,,starter
