week,when_utc,type,status,manager,added,dropped,faab
1,2026-09-15T07:04:59Z,waiver,failed,jezz281,DeMario Douglas,,0
1,2026-09-15T07:04:59Z,waiver,complete,jezz281,Demarcus Robinson,,0
1,2026-09-15T07:04:59Z,waiver,failed,jezz281,TB D/ST,,1
1,2026-09-15T07:04:59Z,waiver,complete,jezz281,SF D/ST,JAX D/ST,1
1,2026-09-15T04:05:22Z,free_agent,complete,LeJohnBrains,,Kyler Murray,NA
1,2026-09-15T07:04:59Z,waiver,complete,jezz281,Devaughn Vele,Wil Lutz,4
1,2026-09-15T07:04:59Z,waiver,complete,Rowdy17,Dalton Schultz,,2
1,2026-09-13T20:48:15Z,free_agent,complete,jezz281,Wil Lutz,Tony Pollard,NA
1,2026-09-13T02:04:58Z,free_agent,complete,Rowdy17,,Malik Davis,NA
1,2026-09-11T02:34:52Z,free_agent,complete,theNastyJK,Dallas Goedert,,NA
1,2026-09-09T10:34:58Z,free_agent,complete,DrBongstrong,Alvin Kamara,,NA
1,2026-09-09T10:33:13Z,free_agent,complete,DrBongstrong,Isiah Pacheco,Aaron Jones,NA
1,2026-09-02T11:12:15Z,free_agent,complete,dm98,Chris Rodriguez,Michael Pittman,NA
1,2026-08-31T22:01:36Z,free_agent,complete,Rowdy17,Malik Davis,,NA
1,2026-09-01T01:50:32Z,trade,complete,themikemartin + Rowdy17,"Caleb Williams, Jayden Daniels","Caleb Williams, Jayden Daniels",NA
1,2026-08-31T11:40:16Z,free_agent,complete,jezz281,JAX D/ST,Rachaad White,NA
1,2026-08-30T22:19:07Z,free_agent,complete,Rowdy17,James Conner,Jake Ferguson,NA
1,2026-08-31T13:35:25Z,waiver,complete,themikemartin,MarShawn Lloyd,Chris Rodriguez,31
1,2026-08-30T23:00:32Z,trade,complete,JLstorm1 + Rowdy17,"Justin Herbert, Trevor Lawrence","Justin Herbert, Trevor Lawrence",NA
1,2026-08-31T13:35:25Z,waiver,failed,JLstorm1,MarShawn Lloyd,,0
1,2026-08-30T14:27:43Z,free_agent,complete,themikemartin,Xavier Worthy,MarShawn Lloyd,NA
1,2026-08-31T13:15:25Z,waiver,complete,themikemartin,Bryce Young,Fernando Mendoza,2
1,2026-08-30T14:12:20Z,free_agent,complete,themikemartin,DJ Giddens,Tyrone Tracy,NA
1,2026-08-30T14:06:05Z,free_agent,complete,Wenzo3030,KC Concepcion,Bryce Young,NA
1,2026-08-30T14:04:35Z,free_agent,complete,themikemartin,Kaelon Black,Dallas Goedert,NA
1,2026-08-30T13:49:26Z,free_agent,complete,theNastyJK,Evan McPherson,,NA
2,2026-09-22T07:05:47Z,waiver,complete,JLstorm1,MIN D/ST,BAL D/ST,6
2,2026-09-22T07:05:47Z,waiver,complete,JLstorm1,Jonah Coleman,Michael Pittman,7
2,2026-09-22T07:05:47Z,waiver,complete,dm98,Tre Tucker,,6
2,2026-09-22T07:05:47Z,waiver,complete,dm98,Jacoby Brissett,,31
2,2026-09-22T00:11:08Z,free_agent,complete,LeJohnBrains,Malachi Fields,Tutu Atwell,NA
2,2026-09-22T00:10:25Z,free_agent,complete,LeJohnBrains,Tutu Atwell,,NA
2,2026-09-22T07:05:47Z,waiver,failed,jezz281,Tre Tucker,,3
2,2026-09-20T11:14:14Z,free_agent,complete,jezz281,Chase McLaughlin,Jacoby Brissett,NA
2,2026-09-17T02:09:01Z,free_agent,complete,JLstorm1,Michael Pittman,,NA
2,2026-09-17T00:12:56Z,free_agent,complete,themikemartin,,DJ Giddens,NA
2,2026-09-15T22:28:55Z,free_agent,complete,jezz281,Jacoby Brissett,Carson Wentz,NA
2,2026-09-15T22:27:34Z,free_agent,complete,jezz281,Carson Wentz,Demarcus Robinson,NA
2,2026-09-15T19:13:58Z,free_agent,complete,dm98,Emmett Johnson,,NA
2,2026-09-16T03:05:47Z,waiver,complete,DrBongstrong,Kyler Murray,Jakobi Meyers,25
2,2026-09-15T11:01:47Z,free_agent,complete,DrBongstrong,Aaron Jones,Jayden Reed,NA
2,2026-09-15T12:23:36Z,trade,complete,themikemartin + dm98,"Jayden Daniels, Jordan Love, Garrett Wilson","Jayden Daniels, Jordan Love, Garrett Wilson",NA
2,2026-09-15T08:12:20Z,free_agent,complete,dm98,Caleb Douglas,Tyjae Spears,NA
3,2026-09-22T10:51:52Z,free_agent,complete,themikemartin,Aaron Rodgers,Deebo Samuel,NA
3,2026-09-22T10:34:45Z,free_agent,complete,themikemartin,Tony Pollard,Kaelon Black,NA
3,2026-09-22T09:20:55Z,free_agent,complete,dm98,Drew Lock,Chris Rodriguez,NA
3,2026-09-22T08:40:48Z,free_agent,complete,jezz281,Emanuel Wilson,Quentin Johnston,NA
3,2026-09-22T07:56:32Z,free_agent,complete,LeJohnBrains,Denzel Boston,,NA
3,2026-09-22T07:08:33Z,free_agent,complete,JLstorm1,Rashod Bateman,,NA
