"id","player","team","pos","pass_att","pass_comp","pass_yds","pass_yds_g","pass_tds","pass_int","pass_rate","rush_att","rush_yds","rush_avg","rush_tds","fumbles_lost","rec","rec_tgt","rec_yds","rec_tds","pos_rank","overall_rank","team_id","rec_yds_g","rec_avg","dst_int","dst_fum_rec","dst_sacks","dst_fumbles","dst_tackles","scraped_at"
"10313","Andy Dalton","PHI","QB",13.475,9.24,99.65,8.5,0.675,0.16,111.9,2,10,5,0,1,0,0,0,0,54,424,24,NA,NA,NA,NA,NA,NA,NA,"2026-09-22 10:22 UTC"
"10413","Tyrod Taylor","GB","QB",14.565,9.225,105.965,9.6,0.69,0.08,103.8,2,8,4,0,0,0,0,0,0,51,420,12,NA,NA,NA,NA,NA,NA,NA,"2026-09-22 10:22 UTC"
"10700","Kirk Cousins","LV","QB",237.755,155.8325,1566.27,183.5,10.905,7.545,87.1,11.0575,14.6825,0.8,0.29,1,0,0,0,0,33,154,35,NA,NA,NA,NA,NA,NA,NA,"2026-09-22 10:22 UTC"
"11150","Geno Smith","NYJ","QB",476.945,315.4375,3227.645,181.5,19.2475,12.205,85.4,57.3325,210.7375,3.6,1.29,1,0,0,0,0,29,49,22,NA,NA,NA,NA,NA,NA,NA,"2026-09-22 10:22 UTC"
"11222","Keenan Allen","IND","WR",NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,56.3333333333333,87,571.666666666667,3.33333333333333,NA,NA,NA,37.5,10,NA,NA,NA,NA,NA,"2026-09-22 10:22 UTC"
"11244","Travis Kelce","KC","TE",0,0,0,NA,0,0,NA,0,0,NA,0,0.2,74.6733333333333,105.023333333333,801.12,5.20833333333333,4,88,16,56.3,11,NA,NA,NA,NA,NA,"2026-09-22 10:22 UTC"
"11671","Mike Evans","SF","WR",0,0,0,NA,0,0,NA,0,0,0,0,0,64.9975,101.35,868.0225,7.15,16,65,27,52.9,12.6,NA,NA,NA,NA,NA,"2026-09-22 10:22 UTC"
"11674","Brandin Cooks","BUF","WR",0,0,0,NA,0,0,NA,0,0,NA,0,NA,27.27,44.2,329.39,1.98,96,221,4,NA,NA,NA,NA,NA,NA,NA,"2026-09-22 10:22 UTC"
"11675","Davante Adams","LAR","WR",0,0,0,NA,0,0,NA,0,0,0,0,0,65.4475,115.066666666667,851.3575,8.7375,20,75,33,47.3,12,NA,NA,NA,NA,NA,"2026-09-22 10:22 UTC"
"11679","Odell Beckham Jr.","NYG","WR",NA,NA,NA,NA,NA,NA,NA,2,11,NA,0,NA,13,22,172,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"2026-09-22 10:22 UTC"
"12140","Jameis Winston","NYG","QB",21.7166666666667,12.76,161.92,8.5,1.14,0.773333333333333,97.1,2.33333333333333,9.33333333333333,4,0,0,0,0,0,0,43,412,21,NA,NA,NA,NA,NA,NA,NA,"2026-09-22 10:22 UTC"
"12141","Marcus Mariota","WAS","QB",26.84,16.625,172.92,18.4,1.185,0.655,85,4.5,27.5,6.1,0,0,0,0,0,0,53,423,32,NA,NA,NA,NA,NA,NA,NA,"2026-09-22 10:22 UTC"
"12155","Ameer Abdullah","JAC","RB",0,0,0,NA,0,0,NA,19.205,83.745,NA,0.685,NA,12.74,17.34,84.615,0.405,67,270,15,NA,NA,NA,NA,NA,NA,NA,"2026-09-22 10:22 UTC"
"12186","Stefon Diggs","WAS","WR",0,0,0,NA,0,0,NA,0.333333333333333,0.666666666666667,2,0,0,67.07,98.26,766.445,5.0025,30,93,32,47.6,11.3,NA,NA,NA,NA,NA,"2026-09-22 10:22 UTC"
"12263","Darren Waller","CAR","TE",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,37.6666666666667,48,374.666666666667,4.33333333333333,NA,NA,NA,25.4,10,NA,NA,NA,NA,NA,"2026-09-22 10:22 UTC"
"12610","Carson Wentz","MIN","QB",24.545,15.965,171.21,7.9,1.275,0.83,80.3,2.81,12.68,4.5,0.035,0,0,0,0,0,35,344,18,NA,NA,NA,NA,NA,NA,NA,"2026-09-22 10:22 UTC"
"12611","Jared Goff","DET","QB",524.375,356.795,4055.5125,252.2,30.095,8.9925,108.5,22.565,49.8225,2,0.4075,3,0,0,0,0,15,18,11,NA,NA,NA,NA,NA,NA,NA,"2026-09-22 10:22 UTC"
"12616","Jacoby Brissett","ARI","QB",531.215,344.73,3540.3125,215.1,18.955,9.275,87.9,50.8675,213.0825,3.9,1.6425,4,0,0,0,0,21,27,1,NA,NA,NA,NA,NA,NA,NA,"2026-09-22 10:22 UTC"
"12620","Dak Prescott","DAL","QB",557.586666666667,371.001666666667,4102.485,255.3,29.56,10.88,98.6,55.5716666666667,223.088333333333,3.9,2.405,2.53333333333333,0,0,0,0,2,3,9,NA,NA,NA,NA,NA,NA,NA,"2026-09-22 10:22 UTC"
"12626","Derrick Henry","BAL","RB",0,0,0,NA,0,0,NA,308.775,1535.37166666667,5.4,12.9716666666667,1.46666666666667,21.2916666666667,30.08,205.485,0.963333333333333,2,15,3,11.1,9.8,NA,NA,NA,NA,NA,"2026-09-22 10:22 UTC"
"12645","Laquon Treadwell","IND","WR",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,16,25,199,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"2026-09-22 10:22 UTC"
"12676","Hunter Henry","NE","TE",0,0,0,NA,0,0,NA,0,0,NA,0,0,56.475,79.7266666666667,651.495,5.055,8,101,19,42.7,12.3,NA,NA,NA,NA,NA,"2026-09-22 10:22 UTC"
"12677","Austin Hooper","ATL","TE",0,0,0,NA,0,0,NA,0,0,NA,0,0,19.7275,26.75,204.7725,1.18,42,240,2,14.7,11.1,NA,NA,NA,NA,NA,"2026-09-22 10:22 UTC"
"12678","Tyler Higbee","LAR","TE",0,0,0,NA,0,0,NA,0,0,NA,0,2,21.5775,31.2066666666667,238.96,1.8775,50,265,33,27.1,11.7,NA,NA,NA,NA,NA,"2026-09-22 10:22 UTC"
"12785","Demarcus Robinson","SF","WR",0,0,0,NA,0,0,NA,0.5,1.5,3,0,0,26.6733333333333,42.33,381.29,2.75333333333333,91,212,27,29.8,14.9,NA,NA,NA,NA,NA,"2026-09-22 10:22 UTC"
"12955","Chris Manhertz","NYG","TE",0,0,0,NA,0,0,NA,0,0,NA,0,0,5.725,8.005,56.395,0.6,97,399,21,5,10,NA,NA,NA,NA,NA,"2026-09-22 10:22 UTC"
"13066","Kalif Raymond","CHI","WR",0,0,0,NA,0,0,NA,1.5,8,4.5,0,0,31.985,47.14,354.0875,2.1025,106,248,6,29.3,10.7,NA,NA,NA,NA,NA,"2026-09-22 10:22 UTC"
"13113","Deshaun Watson","CLE","QB",420.6075,271.0275,2844.87,209.7,14.5375,9.9475,86,66.075,323.165,5.2,1.92,3,0,0,0,0,30,53,8,NA,NA,NA,NA,NA,NA,NA,"2026-09-22 10:22 UTC"
"13115","Mitch Trubisky","TEN","QB",16.0466666666667,9.89333333333333,104.643333333333,7.3,0.773333333333333,0.436666666666667,87.5,1.66666666666667,5.66666666666667,3,0,0,0,0,0,0,57,427,31,NA,NA,NA,NA,NA,NA,NA,"2026-09-22 10:22 UTC"
"13116","Patrick Mahomes","KC","QB",537.591666666667,343.253333333333,3754.775,236.5,26.7816666666667,10.965,90.8,64.1583333333333,343.908333333333,5.2,3.30833333333333,1.33333333333333,0,0,0,0,10,11,16,NA,NA,NA,NA,NA,NA,NA,"2026-09-22 10:22 UTC"
"13119","Joshua Dobbs","DET","QB",15.58,10.61,116.315,10.7,0.665,0.16,110.4,2,4,2,0,0,0,0,0,0,55,425,11,NA,NA,NA,NA,NA,NA,NA,"2026-09-22 10:22 UTC"
"13130","Christian McCaffrey","SF","RB",0,0,0,NA,0,0,NA,239,1003.31,3.9,8.20333333333333,1.06666666666667,71.2333333333333,81.1966666666667,616.401666666667,4.025,9,38,27,36.5,9,NA,NA,NA,NA,NA,"2026-09-22 10:22 UTC"
"13132","Alvin Kamara","NO","RB",0,0,0,NA,0,0,NA,106.8275,415.3025,3.6,2.515,1,28.785,36.25,192.235,0.97,49,184,20,14.6,6.4,NA,NA,NA,NA,NA,"2026-09-22 10:22 UTC"
"13133","Samaje Perine","CIN","RB",0,0,0,NA,0,0,NA,70.9275,306.28,4.5,2.3875,2,15.985,19.6433333333333,125.27,0.6675,58,224,7,10.2,9,NA,NA,NA,NA,NA,"2026-09-22 10:22 UTC"
"13143","Jeremy McNichols","WAS","RB",0,0,0,NA,0,0,NA,6.5,34.5,5.3,0.5,0,3,3.5,21.5,0,113,442,32,3.3,7.2,NA,NA,NA,NA,NA,"2026-09-22 10:22 UTC"
"13146","James Conner","ARI","RB",0,0,0,NA,0,0,NA,18.6666666666667,70.3333333333333,3.5,0.666666666666667,0,3.66666666666667,1.5,30,0,113,442,1,1.7,7.3,NA,NA,NA,NA,NA,"2026-09-22 10:22 UTC"
"13163","Chris Godwin","TB","WR",0,0,0,NA,0,0,NA,2.75,17,7,0,0,62.68,87.3566666666667,715.195,4.59,32,97,30,47.3,11.8,NA,NA,NA,NA,NA,"2026-09-22 10:22 UTC"
"13164","Cooper Kupp","SEA","WR",0,0,0,NA,0,0,NA,0,0.666666666666667,0,0,1,40.7025,64.99,505.0025,3.1325,52,136,28,37.8,12.3,NA,NA,NA,NA,NA,"2026-09-22 10:22 UTC"
"13189","Evan Engram","DEN","TE",0,0,0,NA,0,0,NA,0,0,NA,0,0,46.7525,60.9166666666667,403.4575,2.485,34,217,10,29.1,9.1,NA,NA,NA,NA,NA,"2026-09-22 10:22 UTC"
"13192","David Njoku","LAC","TE",0,0,0,NA,0,0,NA,0,0,NA,0,0,32.0366666666667,37.56,275.243333333333,2.52333333333333,36,222,34,16.8,9.3,NA,NA,NA,NA,NA,"2026-09-22 10:22 UTC"
"13193","Jonnu Smith","GB","TE",0,0,0,NA,0,0,NA,1,2.5,NA,0,0,28.0066666666667,39.2833333333333,255.053333333333,2.00666666666667,33,209,12,18.7,10,NA,NA,NA,NA,NA,"2026-09-22 10:22 UTC"
"13246","Mo Alie-Cox","IND","TE",0,0,0,NA,0,0,NA,0,0,NA,0,NA,18.88,27.95,197.32,1.14,52,267,14,NA,NA,NA,NA,NA,NA,NA,"2026-09-22 10:22 UTC"
"13289","Mack Hollins","NE","WR",0,0,0,NA,0,0,NA,0.333333333333333,0.666666666666667,2,0,0,34.17,56.4233333333333,436.3175,2.655,71,175,19,39.9,13.3,NA,NA,NA,NA,NA,"2026-09-22 10:22 UTC"
"13299","George Kittle","SF","TE",0,0,0,NA,0,0,NA,0,0,NA,0,0.133333333333333,66.9266666666667,83.97,791.405,5.91,10,103,27,52.1,12.4,NA,NA,NA,NA,NA,"2026-09-22 10:22 UTC"
"13315","Eric Saubert","SEA","TE",0,0,0,NA,0,0,NA,0,0,NA,0,NA,6.87,10.23,64.21,0.57,83,355,28,NA,NA,NA,NA,NA,NA,NA,"2026-09-22 10:22 UTC"
"13319","Aaron Jones","MIN","RB",0,0,0,NA,0,0,NA,166.6475,736.05,4.4,4.0675,1,34.4975,46.1866666666667,251.0425,1.505,24,73,18,13.9,7.4,NA,NA,NA,NA,NA,"2026-09-22 10:22 UTC"
"13348","David Moore","CAR","WR",0,0,0,NA,0,0,NA,0,0,NA,0,NA,0,0,0,0,166,442,5,NA,NA,NA,NA,NA,NA,NA,"2026-09-22 10:22 UTC"
"13377","Tim Patrick","NYJ","WR",0,0,0,NA,0,0,NA,0,0,NA,0,NA,1.11,1.74,14.45,0.08,165,437,22,NA,NA,NA,NA,NA,NA,NA,"2026-09-22 10:22 UTC"
"13418","Kendrick Bourne","ARI","WR",0,0,0,NA,0,0,NA,0,0.333333333333333,0,0,0,35.1525,56.2366666666667,409.375,1.9575,81,195,1,27.9,11.6,NA,NA,NA,NA,NA,"2026-09-22 10:22 UTC"
"13455","Patrick Ricard","NYG","RB",0,0,0,NA,0,0,NA,9.69,38.81,NA,0.18,NA,7.32,10,48.31,0.31,90,348,21,NA,NA,NA,NA,NA,NA,NA,"2026-09-22 10:22 UTC"
"13589","Josh Allen","BUF","QB",480.796666666667,325.918333333333,3748.39166666667,227.5,25.9766666666667,10.5233333333333,104,114.148333333333,560.241666666667,4.6,11.2,4.06666666666667,0,0,0,0,1,1,4,NA,NA,NA,NA,NA,NA,NA,"2026-09-22 10:22 UTC"
"13590","Baker Mayfield","TB","QB",507.34,331.03,3559.9175,219.7,24.37,11.4925,91.1,59.25,326.24,6.5,2.08,5,0,0,0,0,18,21,30,NA,NA,NA,NA,NA,NA,NA,"2026-09-22 10:22 UTC"
"13592","Sam Darnold","SEA","QB",460.525,307.3575,3702.1675,235.5,24.8175,11.425,105.2,37.2275,116.155,2.9,0.8125,5,0,0,0,0,25,39,28,NA,NA,NA,NA,NA,NA,NA,"2026-09-22 10:22 UTC"
"13593","Lamar Jackson","BAL","QB",437.891666666667,285.138333333333,3609.50166666667,210.1,26.8416666666667,8.76833333333333,109.4,113.153333333333,631.003333333333,5.7,3.255,4.46666666666667,0,0,0,0,3,4,3,NA,NA,NA,NA,NA,NA,NA,"2026-09-22 10:22 UTC"
"13595","Mason Rudolph","PIT","QB",14.82,9.495,97.385,8.1,0.7,0.16,98.8,2,7,3.5,0,0,0,0,0,0,44,413,25,NA,NA,NA,NA,NA,NA,NA,"2026-09-22 10:22 UTC"
"13604","Saquon Barkley","PHI","RB",0,0,0,NA,0,0,NA,277.813333333333,1273.58833333333,4.7,7.86333333333333,1,42.41,57.2766666666667,327.82,1.98,5,29,24,17.3,7.2,NA,NA,NA,NA,NA,"2026-09-22 10:22 UTC"
"13629","Calvin Ridley","TEN","WR",0,0,0,NA,0,0,NA,1.75,9.25,6,0,0,38.3775,72.0333333333333,582,2.9775,63,159,31,48.5,16.9,NA,NA,NA,NA,NA,"2026-09-22 10:22 UTC"
"13630","Courtland Sutton","DEN","WR",0,0,0,NA,0,0,NA,0,0,0,0,0,57.94,95.6333333333333,740.87,5.7975,49,130,10,48.6,12.6,NA,NA,NA,NA,NA,"2026-09-22 10:22 UTC"
"13633","Christian Kirk","SF","WR",0,0,0,NA,0,0,NA,0,0,0,0,0,21,37,243,1.5,166,442,27,37.4,11.6,NA,NA,NA,NA,NA,"2026-09-22 10:22 UTC"
"13635","DJ Moore","BUF","WR",0,0,0,NA,0,0,NA,9.4475,46.12,4.3,0.3325,0,62.16,91.71,804.7575,5.5475,36,105,4,45.1,12.3,NA,NA,NA,NA,NA,"2026-09-22 10:22 UTC"
"13669","Malik Turner","SF","WR",0,0,0,NA,0,0,NA,0,0,NA,0,NA,4.35,6.95,52.49,0.36,151,375,27,NA,NA,NA,NA,NA,NA,NA,"2026-09-22 10:22 UTC"
"13671","Mark Andrews","BAL","TE",0,0,0,NA,0,0,NA,4.49,14.83,NA,0.105,0,55.865,76.3633333333333,591.965,6.44,9,102,3,34,10.2,NA,NA,NA,NA,NA,"2026-09-22 10:22 UTC"
"13672","Mike Gesicki","CIN","TE",0,0,0,NA,0,0,NA,0,0,NA,0,0,43.095,60.5966666666667,462.3925,3.775,26,177,7,38.6,12.3,NA,NA,NA,NA,NA,"2026-09-22 10:22 UTC"
"13674","Dallas Goedert","PHI","TE",0,0,0,NA,0,0,NA,0,0,NA,0,0.133333333333333,64.9933333333333,88.24,693.783333333333,6.64333333333333,5,91,24,45.8,11.1,NA,NA,NA,NA,NA,"2026-09-22 10:22 UTC"
"13676","Durham Smythe","BAL","TE",0,0,0,NA,0,0,NA,0,0,NA,0,0,18.415,29.245,187.48,1.745,46,260,3,11.5,9.6,NA,NA,NA,NA,NA,"2026-09-22 10:22 UTC"
"13678","Ian Thomas","LV","TE",0,0,0,NA,0,0,NA,0,0,NA,0,0,6.14,7.53,52.33,0.58,99,404,35,5,8.3,NA,NA,NA,NA,NA,"2026-09-22 10:22 UTC"
"13772","Dalton Schultz","HOU","TE",0,0,0,NA,0,0,NA,0,0,NA,0,0,62.035,84.3033333333333,602.86,3.1975,25,176,13,48.3,10.1,NA,NA,NA,NA,NA,"2026-09-22 10:22 UTC"
"13879","Kyle Allen","BUF","QB",16.3933333333333,9.83333333333333,112.393333333333,5.9,0.786666666666667,0.44,100.8,1.33333333333333,2.66666666666667,1,0,0,4.31,5.41,2.07,0.26,36,385,4,NA,NA,NA,NA,NA,NA,NA,"2026-09-22 10:22 UTC"
"13940","Johnny Mundt","PHI","TE",0,0,0,NA,0,0,NA,0,0,NA,0,NA,3.39,4.98,31.35,0.22,98,400,24,NA,NA,NA,NA,NA,NA,NA,"2026-09-22 10:22 UTC"
"14056","Kyler Murray","MIN","QB",477.0075,315.2,3324.0275,193.5,23.015,12.62,87.7,82.705,491.6975,6.6,4.0525,3,0,0,0,0,13,14,18,NA,NA,NA,NA,NA,NA,NA,"2026-09-22 10:22 UTC"
"14057","Drew Lock","SEA","QB",44.13,28.67,322.65,9.4,1.935,0.98,115.1,4.015,18.075,4.8,0.09,0,0,0,0,0,34,283,28,NA,NA,NA,NA,NA,NA,NA,"2026-09-22 10:22 UTC"
"14059","Daniel Jones","IND","QB",487.4325,321.03,3598.5525,227.6,21.235,11.0625,95.6,53.88,221.295,3.6,2.56,2,0,0,0,0,23,31,14,NA,NA,NA,NA,NA,NA,NA,"2026-09-22 10:22 UTC"
"14063","Jarrett Stidham","DEN","QB",15.87,9.85,99.735,8.4,0.67,0.16,94.5,2,8,4,0,0,0,0,0,0,52,422,10,NA,NA,NA,NA,NA,NA,NA,"2026-09-22 10:22 UTC"
"14067","Gardner Minshew","ARI","QB",16.17,10.65,103.615,8.8,0.68,0.15,99.7,1.5,6.5,4.3,0,0,0,0,0,0,46,415,1,NA,NA,NA,NA,NA,NA,NA,"2026-09-22 10:22 UTC"
"14071","David Montgomery","HOU","RB",0,0,0,NA,0,0,NA,220.4375,906.2325,3.6,8.3075,1,26.4825,28.9833333333333,194.835,0.97,16,57,13,12.9,7.8,NA,NA,NA,NA,NA,"2026-09-22 10:22 UTC"
"14073","Josh Jacobs","GB","RB",0,0,0,NA,0,0,NA,116.365,471.485,3.9,4.445,1,15.75,20.6666666666667,125.25,0.75,96,363,12,14,8.2,NA,NA,NA,NA,NA,"2026-09-22 10:22 UTC"
"14080","Devin Singletary","NYG","RB",0,0,0,NA,0,0,NA,79.165,310.66,3.6,2.155,0,14.335,17.525,97.33,0.83,51,187,21,4.4,7,NA,NA,NA,NA,NA,"2026-09-22 10:22 UTC"
"14083","Travis Homer","PIT","RB",0,0,0,NA,0,0,NA,19.34,80.33,NA,0.44,NA,14.03,18.71,102.97,0.56,72,288,25,NA,NA,NA,NA,NA,NA,NA,"2026-09-22 10:22 UTC"
"14085","Tony Pollard","TEN","RB",0,0,0,NA,0,0,NA,205.735,897.195,4.5,4.1975,2,27.91,35.2,169.7425,0.47,30,107,31,10.7,5.6,NA,NA,NA,NA,NA,"2026-09-22 10:22 UTC"
"14086","Justice Hill","BAL","RB",0,0,0,NA,0,0,NA,48.2275,221.8575,4.8,1.675,0,21.2425,24.2533333333333,181.2925,0.8875,71,284,3,10.7,8.4,NA,NA,NA,NA,NA,"2026-09-22 10:22 UTC"
"14095","Ty Johnson","BUF","RB",0,0,0,NA,0,0,NA,37.725,159.875,4.1,1.2875,0,15.36,16.5733333333333,148.9675,1.105,65,255,4,6.6,12.4,NA,NA,NA,NA,NA,"2026-09-22 10:22 UTC"
"14102","DK Metcalf","PIT","WR",0,0,0,NA,0,0,NA,0.333333333333333,2.33333333333333,7,0.333333333333333,0,58.9925,102.356666666667,825.6225,5.3625,34,100,25,51.7,14.1,NA,NA,NA,NA,NA,"2026-09-22 10:22 UTC"
"14104","A.J. Brown","NE","WR",0,0,0,NA,0,0,NA,0,0,0,0,0.2,74.3016666666667,87.9366666666667,1023.51833333333,6.435,24,81,19,73.5,14.7,NA,NA,NA,NA,NA,"2026-09-22 10:22 UTC"
"14105","Hollywood Brown","PHI","WR",0,0,0,NA,0,0,NA,1.33333333333333,7.66666666666667,NA,0,NA,12.56,19.445,148.376666666667,0.88,107,249,24,NA,NA,NA,NA,NA,NA,NA,"2026-09-22 10:22 UTC"
"14109","Terry McLaurin","WAS","WR",0,0,0,NA,0,0,NA,1.59,7.37333333333333,0,0.0566666666666667,0,60.005,97.9266666666667,849.215,5.7025,29,90,32,47.7,14.9,NA,NA,NA,NA,NA,"2026-09-22 10:22 UTC"
"14110","David Sills V","TB","WR",0,0,0,NA,0,0,NA,0,0,NA,0,NA,0,0,0,0,166,442,30,NA,NA,NA,NA,NA,NA,NA,"2026-09-22 10:22 UTC"
"14118","Lil'Jordan Humphrey","DEN","WR",0,0,0,NA,0,0,NA,0,0,NA,0,NA,24.09,41.1,276.28,1.86,99,232,10,NA,NA,NA,NA,NA,NA,NA,"2026-09-22 10:22 UTC"
"14122","Darius Slayton","NYG","WR",NA,NA,NA,NA,NA,NA,NA,0,0,NA,0,NA,25,NA,346,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"2026-09-22 10:22 UTC"
"14127","Jakobi Meyers","JAC","WR",0,0,0,NA,0,0,NA,4.335,21.0425,3.2,0.04,1,62.6025,95.8066666666667,735.97,4.41,19,74,15,45.7,12.7,NA,NA,NA,NA,NA,"2026-09-22 10:22 UTC"
"14136","Deebo Samuel","SF","WR",0,0,0,NA,0,0,NA,20.8125,90.44,3.4,0.7625,0,54.8375,83.0066666666667,619.0625,4.15,48,129,27,41.3,10,NA,NA,NA,NA,NA,"2026-09-22 10:22 UTC"
"14137","Noah Fant","NO","TE",0,0,0,NA,0,0,NA,0,0,NA,0,2,26.19,34.95,246.725,1.6925,70,308,20,26.2,9.4,NA,NA,NA,NA,NA,"2026-09-22 10:22 UTC"
"14138","T.J. Hockenson","MIN","TE",0,0,0,NA,0,0,NA,0,0,NA,0,0,56.5525,74.2233333333333,518.28,3.515,23,165,18,32.4,9.7,NA,NA,NA,NA,NA,"2026-09-22 10:22 UTC"
"14143","Dawson Knox","BUF","TE",0,0,0,NA,0,0,NA,0,0,NA,0,0,28.555,42.6733333333333,319.91,3.2975,28,180,4,21.1,10.5,NA,NA,NA,NA,NA,"2026-09-22 10:22 UTC"
