rank,player,team,points
1,Vikings D/ST,MIN,4.34
2,Raiders D/ST,LV,4.043333333333333
3,Lions D/ST,DET,3.9983333333493154
4,Bills D/ST,BUF,3.9058333333385633
5,Steelers D/ST,PIT,3.793333333333333
6,Texans D/ST,HOU,3.5700000000000003
7,Panthers D/ST,CAR,3.2475000005289054
8,49ers D/ST,SF,3.129166670624639
9,Cowboys D/ST,DAL,2.8966666666666665
10,Chiefs D/ST,KCC,2.8266666667061533
11,Bears D/ST,CHI,2.8200000000000003
12,Commanders D/ST,WAS,2.7666666666666657
13,Jaguars D/ST,JAC,2.6933333333333334
14,Browns D/ST,CLE,2.656666666666667
15,Eagles D/ST,PHI,2.6100000000125982
16,Seahawks D/ST,SEA,2.6025000004171313
17,Buccaneers D/ST,TB,2.5566666666666666
18,Giants D/ST,NYG,2.5533333334755515
19,Packers D/ST,GB,2.507500000012144
20,Titans D/ST,TEN,2.25
21,Saints D/ST,NO,2.1025000002194125
22,Bengals D/ST,CIN,2.076666666666667
23,Jets D/ST,NYJ,2.0733333333333333
24,Falcons D/ST,ATL,1.8499999999999996
25,Patriots D/ST,NE,1.7566666666666668
26,Ravens D/ST,BAL,1.6899999999999995
27,Dolphins D/ST,MIA,1.6099999999999994
28,Broncos D/ST,DEN,1.543333333333333
29,Chargers D/ST,LAC,1.54
30,Colts D/ST,IND,1.4766666666666666
31,Cardinals D/ST,ARI,1.46
32,Rams D/ST,LAR,1.3933333333333326
