player,team,pos,points,value,value_raw,tier,par
Jahmyr Gibbs,DET,RB,379.9,94,93.91117901169528,1,191.7
Bijan Robinson,ATL,RB,345.3,77,77.14160783900539,2,157.10000000000002
Jonathan Taylor,IND,RB,330.8,70,70.11389737646192,3,142.60000000000002
Derrick Henry,BAL,RB,320.2,65,64.9763986934991,3,132
Puka Nacua,LAR,WR,286.8,62,61.63217785270257,1,125.10000000000002
Josh Allen,BUF,QB,388.1,58,58.33642398061322,1,118.30000000000001
Jaxon Smith-Njigba,SEA,WR,278,57,57.36708460646929,2,116.30000000000001
Christian McCaffrey,SF,RB,298,54,54.216731640501536,4,109.80000000000001
Amon-Ra St. Brown,DET,WR,268.7,53,52.85965651670003,3,107
James Cook III,BUF,RB,294.3,52,52.423453798335274,4,106.10000000000002
Ja'Marr Chase,CIN,WR,262.4,50,49.80623748814666,3,100.69999999999999
De'Von Achane,MIA,RB,280.4,46,45.68654514803497,5,92.19999999999999
Kenneth Walker III,KC,RB,275.8,43,43.45706458750396,5,87.60000000000002
Saquon Barkley,PHI,RB,274.2,43,42.68159308818881,5,86
Chase Brown,CIN,RB,271.3,41,41.27605099568012,5,83.10000000000002
CeeDee Lamb,DAL,WR,239.4,39,38.65883468549153,4,77.70000000000002
Lamar Jackson,BAL,QB,344.9,37,37.3986934991044,2,75.09999999999997
Ashton Jeanty,LV,RB,260.4,36,35.993151406595715,5,72.19999999999999
Jalen Hurts,PHI,QB,334.8,33,32.50352965967759,3,65
Trey McBride,ARI,TE,199.6,32,32.164260878727205,1,64.29999999999998
Javonte Williams,DAL,RB,252,32,31.921926035191238,5,63.80000000000001
Drake Maye,NE,QB,332.8,32,31.53419028553366,3,63
Justin Jefferson,MIN,WR,222.4,30,30.419450005268157,5,60.70000000000002
Chris Olave,NO,WR,220.4,29,29.45011063112423,5,58.70000000000002
Breece Hall,NYJ,RB,243.2,28,27.65683278895796,5,55
Drake London,ATL,WR,215.5,27,27.075229164471608,5,53.80000000000001
Trevor Lawrence,JAC,QB,320.5,26,25.572753134548517,4,50.69999999999999
Patrick Mahomes,KC,QB,320.4,26,25.524286165841307,4,50.599999999999966
Joe Burrow,CIN,QB,320.2,25,25.42735222842692,4,50.39999999999998
