player,team,pos,pos_rank,points,mine
Josh Allen,BUF,QB,1,26.9,FALSE
Jahmyr Gibbs,DET,RB,1,25.5,FALSE
Lamar Jackson,BAL,QB,2,24.2,FALSE
Jaxson Dart,NYG,QB,3,22.7,FALSE
Jalen Hurts,PHI,QB,4,22.6,FALSE
Brock Purdy,SF,QB,5,22.4,FALSE
Patrick Mahomes,KC,QB,6,22,FALSE
Derrick Henry,BAL,RB,2,21.9,FALSE
Dak Prescott,DAL,QB,7,20.3,FALSE
Bijan Robinson,ATL,RB,3,20.1,FALSE
Justin Herbert,LAC,QB,8,20,FALSE
Christian McCaffrey,SF,RB,4,20,TRUE
Drake Maye,NE,QB,9,19.8,FALSE
Trevor Lawrence,JAC,QB,10,19.7,FALSE
Jonathan Taylor,IND,RB,5,19.4,TRUE
James Cook III,BUF,RB,6,19.4,FALSE
Jayden Daniels,WAS,QB,11,19.3,FALSE
Jared Goff,DET,QB,12,19.2,FALSE
Saquon Barkley,PHI,RB,7,19.2,FALSE
Kenneth Walker III,KC,RB,8,19.2,FALSE
Tyler Shough,NO,QB,13,18.9,FALSE
Caleb Williams,CHI,QB,14,18.8,FALSE
Jaxon Smith-Njigba,SEA,WR,1,18.6,TRUE
Jordan Love,GB,QB,15,18.4,TRUE
Joe Burrow,CIN,QB,16,18.3,FALSE
Amon-Ra St. Brown,DET,WR,2,18.3,FALSE
Bo Nix,DEN,QB,17,18.2,FALSE
Cam Skattebo,NYG,RB,9,17.3,FALSE
Matthew Stafford,LAR,QB,18,17,FALSE
Baker Mayfield,TB,QB,19,16.5,FALSE
Bryce Young,CAR,QB,20,16.5,TRUE
Chris Olave,NO,WR,3,16.5,FALSE
C.J. Stroud,HOU,QB,21,16.3,FALSE
De'Von Achane,MIA,RB,10,16.3,FALSE
Ashton Jeanty,LV,RB,11,16,FALSE
Omarion Hampton,LAC,RB,12,15.8,FALSE
Rashee Rice,KC,WR,4,15.8,FALSE
Puka Nacua,LAR,WR,5,15.8,FALSE
Javonte Williams,DAL,RB,13,15.7,FALSE
Malik Willis,MIA,QB,22,15.5,FALSE
Jacoby Brissett,ARI,QB,23,15.4,FALSE
Breece Hall,NYJ,RB,14,15.2,FALSE
Chase Brown,CIN,RB,15,14.8,FALSE
Geno Smith,NYJ,QB,24,14.6,TRUE
Jadarian Price,SEA,RB,16,14.6,FALSE
Daniel Jones,IND,QB,25,14.5,FALSE
Ja'Marr Chase,CIN,WR,6,14.4,FALSE
Deshaun Watson,CLE,QB,26,14.3,FALSE
Aaron Rodgers,PIT,QB,27,13.8,FALSE
Cam Ward,TEN,QB,28,13.6,FALSE
CeeDee Lamb,DAL,WR,7,13.6,FALSE
D'Andre Swift,CHI,RB,17,13.5,FALSE
Mike Evans,SF,WR,8,13.5,FALSE
Christian Watson,GB,WR,9,13.5,FALSE
Malik Nabers,NYG,WR,10,13.4,FALSE
Zay Flowers,BAL,WR,11,13.3,FALSE
Bucky Irving,TB,RB,18,13.1,FALSE
Aaron Jones,MIN,RB,19,13,FALSE
Quinshon Judkins,CLE,RB,20,13,FALSE
Justin Jefferson,MIN,WR,12,13,FALSE
Nico Collins,HOU,WR,13,13,FALSE
Chuba Hubbard,CAR,RB,21,12.9,FALSE
David Montgomery,HOU,RB,22,12.6,FALSE
Drake London,ATL,WR,14,12.6,FALSE
George Pickens,DAL,WR,15,12.5,FALSE
Jeremiyah Love,ARI,RB,23,12.4,FALSE
Jaylen Warren,PIT,RB,24,12.2,FALSE
Sam Darnold,SEA,QB,29,12.1,FALSE
Kyren Williams,LAR,RB,25,12,FALSE
DeVonta Smith,PHI,WR,16,11.9,FALSE
Parker Washington,JAC,WR,17,11.9,FALSE
Alec Pierce,IND,WR,18,11.6,FALSE
Trey McBride,ARI,TE,1,11.2,FALSE
J.K. Dobbins,DEN,RB,26,11.1,FALSE
Garrett Wilson,NYJ,WR,19,11,TRUE
Tony Pollard,TEN,RB,27,10.7,FALSE
Jordan Mason,MIN,RB,28,10.7,FALSE
Kyler Murray,MIN,QB,30,10.6,FALSE
Travis Etienne,NO,RB,29,10.6,FALSE
Rhamondre Stevenson,NE,RB,30,10.6,FALSE
Kirk Cousins,LV,QB,31,10.5,FALSE
Ladd McConkey,LAC,WR,20,10.5,FALSE
Tee Higgins,CIN,WR,21,10.4,FALSE
Jameson Williams,DET,WR,22,10.4,FALSE
Bhayshul Tuten,JAC,RB,31,10.2,FALSE
Tetairoa McMillan,CAR,WR,23,10.2,FALSE
Dalton Kincaid,BUF,TE,2,10.1,FALSE
Rico Dowdle,PIT,RB,32,9.9,FALSE
Deebo Samuel,SF,WR,24,9.8,TRUE
Emeka Egbuka,TB,WR,25,9.8,FALSE
Brock Bowers,LV,TE,3,9.7,FALSE
DK Metcalf,PIT,WR,26,9.7,FALSE
Dallas Goedert,PHI,TE,4,9.6,FALSE
Jaylen Waddle,DEN,WR,27,9.6,FALSE
Jacory Croskey-Merritt,WAS,RB,33,9.5,FALSE
Isaiah Likely,NYG,TE,5,9.5,FALSE
Terry McLaurin,WAS,WR,28,9.5,FALSE
Kyle Monangai,CHI,RB,34,9.4,FALSE
DJ Moore,BUF,WR,29,9.4,FALSE
Davante Adams,LAR,WR,30,9.3,FALSE
George Kittle,SF,TE,6,9.2,FALSE
Luther Burden III,CHI,WR,31,9.2,FALSE
Matthew Golden,GB,WR,32,9.2,FALSE
TreVeyon Henderson,NE,RB,35,9.1,FALSE
Travis Kelce,KC,TE,7,9.1,TRUE
Sam LaPorta,DET,TE,8,9.1,FALSE
Tua Tagovailoa,ATL,QB,32,9,FALSE
Jayden Reed,GB,WR,33,9,FALSE
RJ Harvey,DEN,RB,36,8.9,FALSE
Tyler Warren,IND,TE,9,8.9,FALSE
Jalen Coker,CAR,WR,34,8.7,FALSE
MarShawn Lloyd,GB,RB,37,8.6,TRUE
Xavier Worthy,KC,WR,35,8.5,TRUE
Stefon Diggs,WAS,WR,36,8.4,TRUE
Tucker Kraft,GB,TE,10,8.3,FALSE
Carson Wentz,MIN,QB,33,8.2,FALSE
Hunter Henry,NE,TE,11,8.2,FALSE
Romeo Doubs,NE,WR,37,8.2,FALSE
Jordan Addison,MIN,WR,38,8.2,FALSE
Michael Wilson,ARI,WR,39,8.2,FALSE
Juwan Johnson,NO,TE,12,8.1,FALSE
Harold Fannin Jr.,CLE,TE,13,8.1,FALSE
Courtland Sutton,DEN,WR,40,8.1,TRUE
Quentin Johnston,LAC,WR,41,8.1,FALSE
Rome Odunze,CHI,WR,42,8.1,FALSE
Brian Thomas Jr.,JAC,WR,43,8.1,FALSE
Drew Lock,SEA,QB,34,8,FALSE
Blake Corum,LAR,RB,38,8,FALSE
Colston Loveland,CHI,TE,14,8,FALSE
Jakobi Meyers,JAC,WR,44,8,FALSE
Michael Pittman,PIT,WR,45,8,FALSE
Woody Marks,HOU,RB,39,7.8,FALSE
Mark Andrews,BAL,TE,15,7.8,FALSE
Khalil Shakir,BUF,WR,46,7.8,FALSE
Carnell Tate,TEN,WR,47,7.8,FALSE
Kyle Pitts,ATL,TE,16,7.7,FALSE
Chris Godwin,TB,WR,48,7.7,FALSE
Kenneth Gainwell,TB,RB,40,7.5,FALSE
Kaelon Black,SF,RB,41,7.5,TRUE
Rashid Shaheed,SEA,WR,49,7.5,FALSE
Brenton Strange,JAC,TE,17,7.3,FALSE
Tyjae Spears,TEN,RB,42,7.2,FALSE
Marvin Harrison Jr.,ARI,WR,50,7.2,FALSE
Devaughn Vele,NO,WR,51,7.2,FALSE
Denzel Boston,CLE,WR,52,7.2,FALSE
Wan'Dale Robinson,TEN,WR,53,7,FALSE
Josh Downs,IND,WR,54,7,FALSE
Tre Tucker,LV,WR,55,7,FALSE
Michael Penix Jr.,ATL,QB,35,6.9,FALSE
Mack Hollins,NE,WR,56,6.9,FALSE
Rashod Bateman,BAL,WR,57,6.8,FALSE
KC Concepcion,CLE,WR,58,6.8,FALSE
Caleb Douglas,MIA,WR,59,6.8,FALSE
Fernando Mendoza,LV,QB,36,6.7,FALSE
Jonathon Brooks,CAR,RB,43,6.7,FALSE
Jerry Jeudy,CLE,WR,60,6.7,FALSE
